Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
DAMWON Gaming,S10,KR,39,87.20%,2.2,1991,391,27:58:00,16.6,7.5,8.6,1.8,56.4,89.7,2.36,62.7,1.46,75.6,0.9,1.4,3055,0.72,89.3,34.7,2143,3.5,1.25,1.58
Gen.G eSports,S10,KR,43,72.10%,1.6,1876,183,31:25:00,15.2,9.5,7.7,3.7,60.5,74.4,3.19,70.6,1.42,72.1,1.28,0.5,1254,0.7,65.4,34.2,1997,3.7,1.53,1.77
DragonX,S10,KR,45,71.10%,1.26,1878,174,32:28:00,13.7,10.8,7.2,4.1,46.7,46.7,2.42,53.1,0.91,46.7,0.8,-0.1,1064,0.8,68.7,35.3,2051,3.6,1.27,1.74
T1,S10,KR,42,66.70%,1.62,1861,172,32:48:00,13.9,8.5,6.9,4.4,61.9,52.4,2.6,56.4,0.93,47.6,1.12,0.3,916,0.64,65,35.3,1892,3.9,1.42,1.86
Afreeca Freecs,S10,KR,41,51.20%,0.96,1738,-36,32:59:00,12,12.6,5.1,5.8,56.1,43.9,2.15,45.2,0.8,43.8,0.68,-0.4,-587,0.56,48.5,32.8,1885,3.3,1.34,1.75
KT Rolster,S10,KR,43,41.90%,0.9,1737,-64,32:59:00,11.1,12.3,5.1,6.1,48.8,48.8,2.23,46.5,0.95,48.8,1.07,0,-248,0.58,42.8,33,1901,3.7,1.49,1.79
Sandbox Gaming,S10,KR,42,40.50%,0.8,1709,-100,32:17:00,10.3,12.9,4.4,6.6,42.9,47.6,2.12,45.3,0.95,51.2,0.81,-0.4,-978,0.38,40,32.9,1788,3.6,1.63,1.87
Team Dynamics,S10,KR,44,36.40%,0.77,1680,-140,32:35:00,10.9,14,4.4,6.3,34.1,40.9,2.32,48.3,0.93,50,0.93,-0.1,-1098,0.59,38.8,31.9,1810,3.5,1.33,1.7
Hanwha Life eSports,S10,KR,42,19.00%,0.61,1651,-245,31:14:00,9.3,15.3,3.2,8.1,42.9,33.3,1.9,39.6,0.64,34.5,1.02,-0.3,-1109,0.29,26,32.1,1666,3.8,1.71,1.53
SeolHaeOne Prince,S10,KR,41,14.60%,0.47,1599,-324,31:04:00,8.5,17.9,2.8,8.2,51.2,24.4,1.54,32.1,0.61,30.5,0.71,-0.8,-2164,0.29,21.3,31.1,1661,3.5,1.37,1.6
